Model,Input_Features,Variance_Retained,ROC_AUC,PR_AUC,Balanced_Accuracy,Recall,Precision,F1
PCA components (95% variance),533,0.9504926800727844,0.713230026688285,0.530466497267027,0.6512664069862797,0.5927565533886383,0.4564220290367154,0.515731360426815
Supervised original features,44,,0.7020444180031661,0.5194160651917481,0.6460221422426073,0.5946008594600248,0.44688495145782486,0.5102674917527675
